gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datacqtr,datafqtr,aqaq,aqdq,aqepsq,aqpq,cogsq,epsfxq,oepf12,oeps12,oiadpq,oibdpq,revtq,aqay,aqdy,aqepsy,aqpy,exchg,costat
32469,2015/3/31,2015,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2015Q1,2015Q1,,,,,31.421,0.54,,,19.031,,60.919,,,,,11,I
32469,2015/6/30,2015,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2015Q2,2015Q2,,,,,35.394,0.64,,,17.811,,64.314,,,,,11,I
32469,2015/9/30,2015,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2015Q3,2015Q3,,,,,39.045,0.45,,,17.443,,67.794,,,,,11,I
32469,2015/12/31,2015,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2015Q4,2015Q4,,,,,35.2,0.71,2.35,2.35,25.274,,72.843,,,,,11,I
32469,2016/3/31,2016,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2016Q1,2016Q1,,,,,,0.53,2.34,2.34,,,73.966,,,,,11,I
32469,2016/6/30,2016,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2016Q2,2016Q2,,,,,47.225,0.59,2.29,2.29,42.155,73.29,80.832,,,,,11,I
32469,2016/9/30,2016,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2016Q3,2016Q3,,,,,30.575,0.51,2.26,2.26,16.412,32.866,81.666,,,,,11,I
32469,2016/12/31,2016,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2016Q4,2016Q4,,,,,24.453,-0.63,2.1,2.1,19.521,38.523,81.888,,,,,11,I
32469,2017/3/31,2017,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2017Q1,2017Q1,,,,,25.338,0.65,2.21,2.21,24.439,44.476,89.157,,,,,11,I
32469,2017/6/30,2017,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2017Q2,2017Q2,,,,,26.707,0.48,2.17,2.17,23.541,45.29,92.101,,,,,11,I
32469,2017/9/30,2017,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2017Q3,2017Q3,,,,,27.854,0.53,2.28,2.28,25.451,48.341,97.689,,,,,11,I
32469,2017/12/31,2017,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2017Q4,2017Q4,,,,,29.207,-2.09,-0.42,-0.42,-53.955,-29.507,99.328,,,,,11,I
32469,2018/3/31,2018,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2018Q1,2018Q1,,,,,30.757,0.02,-1,-1,9.41,34.045,97.717,,,,,11,I
32469,2018/6/30,2018,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2018Q2,2018Q2,,,,,30.105,0.02,-1.53,-1.53,15.828,41.581,102.161,,,,,11,I
32469,2018/9/30,2018,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2018Q3,2018Q3,,,,,28.891,0,-2.07,-2.07,12.532,43.453,102.768,,,,,11,I
32469,2018/12/31,2018,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2018Q4,2018Q4,,,,,28.098,0.05,0.09,0.09,16.909,44.733,103.214,,,,,11,I
32469,2019/3/31,2019,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2019Q1,2019Q1,,,,,29.357,0.01,0.08,0.08,15.665,44.582,107.442,,,,,11,I
32469,2019/6/30,2019,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2019Q2,2019Q2,,,,,28.776,0.01,0.08,0.08,20.935,51.118,111.97,,,,,11,I
32469,2019/9/30,2019,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2019Q3,2019Q3,,,,,33.526,0.03,0.11,0.12,21.98,52.957,122.353,,,,,11,I
32469,2019/12/31,2019,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2019Q4,2019Q4,,,,,32.902,0.04,0.11,0.12,18.347,50.059,120.545,,,,,11,I
32469,2020/3/31,2020,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2020Q1,2020Q1,,,,,35.534,-0.01,0.07,0.1,20.951,53.736,128.096,,,,,11,I
