Target Company,Announcement Date,Deal Value (USD Million),Size Class
BT Group’s Data Centre Business (Ireland),23-Dec-24,62,Small
Entel’s Data Centres (Chile),17-Mar-22,633,Medium
Entel’s Data Centre (Peru),17-Mar-22,74,Small
MainOne Cable Company,7-Dec-21,320,Small
GPX India,10-Aug-20,161,Small
BCE (Bell Canada) – 13 Data Centres,2-Jun-20,780,Medium
Packet Host,14-Jan-20,335,Small
Axtel’s 3 Data Centres,4-Oct-19,175,Small
Switch Datacenters’ AMS1 Data Centre (Netherlands),23-Apr-19,34,Small
Infomart Dallas (from ASB Capital),14-Feb-18,800,Medium
Zenium Technology Partners’ Istanbul Data Centre Operations,6-Oct-17,93,Small
Itconic (Spain/Portugal),8-Sep-17,252,Small
ICT-Center,1-Feb-17,5,Small
Verizon Data Centres (29 Sites),6-Dec-16,"3,600",Big
Metronode (Australia),15-Dec-17,804,Medium
Digital Realty’s Paris Data Centre,1-Aug-16,212,Small
TelecityGroup,29-May-15,"3,615",Big
Nimbo,14-Jan-15,10,Small
Asia Tone,1-May-12,231,Small
ancotel,16-May-12,100,Small
ALOG Data Centers of Brazil,15-Feb-11,127,Small
