"day","avg_price","group"
1,1,"Positive"
2,0.99566983934204,"Positive"
3,0.999471296355572,"Positive"
4,0.99013638088945,"Positive"
5,0.997711811224709,"Positive"
6,0.998230450705874,"Positive"
7,1.0075977485205,"Positive"
8,1.00814881875363,"Positive"
9,1.01512232689777,"Positive"
10,1.02097417343373,"Positive"
11,1.00685745204531,"Positive"
12,1.02864733432116,"Positive"
13,1.03250776783301,"Positive"
14,1.02402859962131,"Positive"
15,1.03520816159848,"Positive"
16,1.02582998112337,"Positive"
17,1.03505297666604,"Positive"
18,1.02717521908195,"Positive"
19,1.02265198924456,"Positive"
20,1.02608329277943,"Positive"
21,1.03481490244645,"Positive"
22,1.04210151870486,"Positive"
23,1.05240983422922,"Positive"
24,1.02964515925168,"Positive"
25,1.01514360730755,"Positive"
