gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datacqtr,datafqtr,scfq,aqdq,cogsq,epsfxq,finxoprq,oiadpq,revtq,oibdpy,exchg,costat
016116,2015-03-31,2015,1,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2015Q1,2015Q1,7,,72.0000,-0.1200,,1.6000,85.7000,,14,I
016116,2015-06-30,2015,2,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2015Q2,2015Q2,7,,64.2000,-0.1100,,2.6000,89.1000,,14,I
016116,2015-09-30,2015,3,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2015Q3,2015Q3,7,,86.2000,-0.0800,,7.5000,111.2000,,14,I
016116,2015-12-31,2015,4,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2015Q4,2015Q4,7,,81.3000,-0.0200,,11.1000,113.3000,,14,I
016116,2016-03-31,2016,1,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2016Q1,2016Q1,7,,79.6000,0.0700,,17.9000,117.8000,,14,I
016116,2016-06-30,2016,2,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2016Q2,2016Q2,7,,89.5000,0.1100,,21.1000,130.1000,,14,I
016116,2016-09-30,2016,3,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2016Q3,2016Q3,7,,105.2000,0.0500,,18.8000,143.8000,,14,I
016116,2016-12-31,2016,4,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2016Q4,2016Q4,7,,102.4000,0.0100,,12.7000,137.4000,,14,I
016116,2017-03-31,2017,1,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2017Q1,2017Q1,7,,108.2000,-0.3600,,19.8000,149.3000,,14,I
016116,2017-06-30,2017,2,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2017Q2,2017Q2,7,,126.7000,-0.0100,,16.7000,166.9000,,14,I
016116,2017-09-30,2017,3,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2017Q3,2017Q3,7,,186.1000,-0.6100,,-36.3000,175.3000,,14,I
016116,2017-12-31,2017,4,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2017Q4,2017Q4,7,,131.0000,0.0300,,23.9000,180.5000,,14,I
016116,2018-03-31,2018,1,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2018Q1,2018Q1,7,,142.4000,0.4500,,27.7000,196.6000,,14,I
016116,2018-06-30,2018,2,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2018Q2,2018Q2,7,,146.5000,1.0600,,27.0000,196.9000,,14,I
016116,2018-09-30,2018,3,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2018Q3,2018Q3,7,,161.7000,-0.4300,,20.2000,206.6000,,14,I
016116,2018-12-31,2018,4,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2018Q4,2018Q4,7,,175.9000,-1.0000,,14.8000,221.3000,,14,I
016116,2019-03-31,2019,1,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2019Q1,2019Q1,7,,185.4000,0.8200,,11.8000,225.0000,,14,I
016116,2019-06-30,2019,2,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2019Q2,2019Q2,7,,205.4000,-0.0800,,19.7000,251.5000,,14,I
016116,2019-09-30,2019,3,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2019Q3,2019Q3,7,,209.1000,0.1100,,12.5000,250.9000,,14,I
016116,2019-12-31,2019,4,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2019Q4,2019Q4,7,,201.9000,-0.4600,,23.0000,253.9000,,14,I
016116,2020-03-31,2020,1,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2020Q1,2020Q1,7,,200.7000,0.1300,,13.2000,245.9000,,14,I
016116,2020-06-30,2020,2,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2020Q2,2020Q2,7,,211.1000,0.3900,,21.1000,256.4000,,14,I
016116,2020-09-30,2020,3,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2020Q3,2020Q3,7,,231.6000,-0.3200,,-4.6000,262.8000,,14,I
016116,2020-12-31,2020,4,INDL,C,D,STD,CONE,CYRUSONE INC,USD,2020Q4,2020Q4,7,,228.7000,0.1500,,10.4000,268.4000,,14,I
018573,2015-03-31,2015,1,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2015Q1,2015Q1,7,,37.0640,0.1300,,10.3790,61.3860,,11,I
018573,2015-06-30,2015,2,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2015Q2,2015Q2,7,,41.5670,0.1200,,7.6890,68.1180,,11,I
018573,2015-09-30,2015,3,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2015Q3,2015Q3,7,,56.8730,0.1700,,12.4570,88.8910,,11,I
018573,2015-12-31,2015,4,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2015Q4,2015Q4,7,,60.5310,0.1100,,11.7940,92.6900,,11,I
018573,2016-03-31,2016,1,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2016Q1,2016Q1,7,,62.1600,0.1400,,12.2880,94.7680,,11,I
018573,2016-06-30,2016,2,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2016Q2,2016Q2,7,,65.0210,0.1000,,11.2530,98.6890,,11,I
018573,2016-09-30,2016,3,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2016Q3,2016Q3,7,,71.5530,0.1200,,11.8610,103.4660,,11,I
018573,2016-12-31,2016,4,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2016Q4,2016Q4,7,,71.3800,0.1000,,12.2260,105.4430,,11,I
018573,2017-03-31,2017,1,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2017Q1,2017Q1,7,,72.5160,0.1000,,11.1880,105.9650,,11,I
018573,2017-06-30,2017,2,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2017Q2,2017Q2,7,,74.3190,0.0800,,10.8450,107.8680,,11,I
018573,2017-09-30,2017,3,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2017Q3,2017Q3,7,,78.1680,0.1300,,12.8980,113.8320,,11,I
018573,2017-12-31,2017,4,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2017Q4,2017Q4,7,,81.0890,-0.2900,,8.3540,118.9120,,11,I
018573,2018-03-31,2018,1,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2018Q1,2018Q1,7,,76.5580,-0.0200,,13.9860,113.6980,,11,I
018573,2018-06-30,2018,2,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2018Q2,2018Q2,7,,77.2810,-0.1600,,13.3370,112.3020,,11,I
018573,2018-09-30,2018,3,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2018Q3,2018Q3,7,,79.2050,-0.2500,,12.2510,112.2790,,11,I
018573,2018-12-31,2018,4,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2018Q4,2018Q4,7,,77.2760,-0.0200,,17.1800,112.3950,,11,I
018573,2019-03-31,2019,1,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2019Q1,2019Q1,7,,76.2580,0.2000,,15.0970,112.4600,,11,I
018573,2019-06-30,2019,2,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2019Q2,2019Q2,7,,83.4060,-0.0300,,14.2330,118.8020,,11,I
018573,2019-09-30,2019,3,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2019Q3,2019Q3,7,,91.3180,-0.0500,,13.3110,124.9600,,11,I
018573,2019-12-31,2019,4,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2019Q4,2019Q4,7,,87.8740,-0.2000,,2.3840,123.2340,,11,I
018573,2020-03-31,2020,1,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2020Q1,2020Q1,7,,89.7620,-0.0100,,14.9540,125.6150,,11,I
018573,2020-06-30,2020,2,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2020Q2,2020Q2,7,,92.0090,-0.0500,,17.2710,131.0520,,11,I
018573,2020-09-30,2020,3,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2020Q3,2020Q3,7,,99.3630,-0.0700,,14.6500,137.1730,,11,I
018573,2020-12-31,2020,4,INDL,C,D,STD,QTS,QTS REALTY TRUST INC,USD,2020Q4,2020Q4,7,,103.2720,-0.3300,,16.7400,143.4860,,11,I
032469,2015-03-31,2015,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2015Q1,2015Q1,,,31.4210,0.5400,,19.0310,60.9190,,11,I
032469,2015-06-30,2015,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2015Q2,2015Q2,,,35.3940,0.6400,,17.8110,64.3140,,11,I
032469,2015-09-30,2015,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2015Q3,2015Q3,,,39.0450,0.4500,,17.4430,67.7940,,11,I
032469,2015-12-31,2015,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2015Q4,2015Q4,7,,35.2000,0.7100,,25.2740,72.8430,,11,I
032469,2016-03-31,2016,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2016Q1,2016Q1,,,,0.5300,,,73.9660,,11,I
032469,2016-06-30,2016,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2016Q2,2016Q2,,,47.2250,0.5900,,42.1550,80.8320,73.2900,11,I
032469,2016-09-30,2016,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2016Q3,2016Q3,,,30.5750,0.5100,,16.4120,81.6660,106.1560,11,I
032469,2016-12-31,2016,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2016Q4,2016Q4,7,,24.4530,-0.6300,,19.5210,81.8880,144.6790,11,I
032469,2017-03-31,2017,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2017Q1,2017Q1,,,25.3380,0.6500,,24.4390,89.1570,44.4760,11,I
032469,2017-06-30,2017,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2017Q2,2017Q2,7,,26.7070,0.4800,,23.5410,92.1010,89.7660,11,I
032469,2017-09-30,2017,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2017Q3,2017Q3,7,,27.8540,0.5300,,25.4510,97.6890,138.1070,11,I
032469,2017-12-31,2017,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2017Q4,2017Q4,7,,29.2070,-2.0900,,-53.9550,99.3280,108.6000,11,I
032469,2018-03-31,2018,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2018Q1,2018Q1,7,,30.7570,0.0200,,9.4100,97.7170,34.0450,11,I
032469,2018-06-30,2018,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2018Q2,2018Q2,7,,30.1050,0.0200,,15.8280,102.1610,75.6260,11,I
032469,2018-09-30,2018,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2018Q3,2018Q3,7,,28.8910,0.0000,,12.5320,102.7680,119.0790,11,I
032469,2018-12-31,2018,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2018Q4,2018Q4,7,,28.0980,0.0500,,16.9090,103.2140,163.8120,11,I
032469,2019-03-31,2019,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2019Q1,2019Q1,7,,29.3570,0.0100,,15.6650,107.4420,44.5820,11,I
032469,2019-06-30,2019,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2019Q2,2019Q2,7,,28.7760,0.0100,,20.9350,111.9700,95.7000,11,I
032469,2019-09-30,2019,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2019Q3,2019Q3,7,,33.5260,0.0300,,21.9800,122.3530,148.6570,11,I
032469,2019-12-31,2019,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2019Q4,2019Q4,7,,32.9020,0.0400,,18.3470,120.5450,198.7160,11,I
032469,2020-03-31,2020,1,INDL,C,D,STD,SWCH,SWITCH INC,USD,2020Q1,2020Q1,7,,35.5340,-0.0100,,20.9510,128.0960,53.7360,11,I
032469,2020-06-30,2020,2,INDL,C,D,STD,SWCH,SWITCH INC,USD,2020Q2,2020Q2,7,,32.8170,0.0500,,25.2810,126.9170,115.5280,11,I
032469,2020-09-30,2020,3,INDL,C,D,STD,SWCH,SWITCH INC,USD,2020Q3,2020Q3,7,,38.1180,0.0500,,22.9210,128.7850,175.8560,11,I
032469,2020-12-31,2020,4,INDL,C,D,STD,SWCH,SWITCH INC,USD,2020Q4,2020Q4,7,,33.6710,0.0500,,26.2600,127.7490,239.4670,11,I
185177,2015-03-31,2015,1,INDL,C,D,STD,COR.4,CORESITE REALTY CORP,USD,2015Q1,2015Q1,7,,49.6720,0.2100,,13.3380,74.6570,,11,I
185177,2015-06-30,2015,2,INDL,C,D,STD,COR.4,CORESITE REALTY CORP,USD,2015Q2,2015Q2,7,,54.4070,0.2200,,14.6780,81.3380,,11,I
185177,2015-09-30,2015,3,INDL,C,D,STD,COR.4,CORESITE REALTY CORP,USD,2015Q3,2015Q3,7,,57.2060,0.2600,,16.7520,86.3830,,11,I
